Recording ID,Title,Date Created,URL
108027047,"Deltek | Newbury Partners - Refresher Demo and Q&A",2025-12-11T16:27:41.000Z,https://fathom.video/share/108027047
108075232,"Bi Weekly Meetings with Alli & GDH!",2025-12-11T16:16:07.000Z,https://fathom.video/share/108075232
108049453,"Bullhorn Data Validation with Newbury",2025-12-11T16:08:06.000Z,https://fathom.video/share/108049453
108048024,"TS - BH Project Team Check- In",2025-12-11T16:03:29.000Z,https://fathom.video/share/108048024
107977017,"Newbury | Mactech Meeting",2025-12-11T12:32:22.000Z,https://fathom.video/share/107977017
107970793,"AWOL ",2025-12-11T11:42:40.000Z,https://fathom.video/share/107970793
107954205,"Newbury | Marine People Meeting w/ Anna Uusitalo",2025-12-11T10:55:04.000Z,https://fathom.video/share/107954205
107873168,"Daily LT Huddle",2025-12-10T21:47:11.000Z,https://fathom.video/share/107873168
107844483,"AHS | Bullhorn - Payroll (Workday) Sessions",2025-12-10T21:06:35.000Z,https://fathom.video/share/107844483
107851702,"KellyMitchell/BH/Newbury Discuss Pre-Bill Scenarios",2025-12-10T21:05:02.000Z,https://fathom.video/share/107851702
107854830,"Newbury and 2cloudnine weekly checkin",2025-12-10T20:59:38.000Z,https://fathom.video/share/107854830
107831292,"Walz Stinson and Russ Wallis",2025-12-10T20:05:35.000Z,https://fathom.video/share/107831292
107812182,"BTP Forms Validation",2025-12-10T19:42:46.000Z,https://fathom.video/share/107812182
107827972,"Reporting Connect Tim",2025-12-10T19:34:20.000Z,https://fathom.video/share/107827972
107789165,"Staffing: Key metrics & req'd data",2025-12-10T19:02:32.000Z,https://fathom.video/share/107789165
107794433,"Newbury Partners Strategy Session with Teambridge",2025-12-10T19:01:16.000Z,https://fathom.video/share/107794433
107798973,"Stephen Koch and Sean Beatty",2025-12-10T19:01:02.000Z,https://fathom.video/share/107798973
107800349,"Wednesday Amplify Check In",2025-12-10T19:00:26.000Z,https://fathom.video/share/107800349
107747133,"nBrain Kickoff",2025-12-10T17:35:28.000Z,https://fathom.video/share/107747133
107752704,"Newbury & Messina Group | Bullhorn Project Check-In",2025-12-10T17:24:39.000Z,https://fathom.video/share/107752704
107737923,"Newbury | Epiq Meeting w/ Gerard Beaulieu",2025-12-10T16:51:56.000Z,https://fathom.video/share/107737923
107723719,"QA Testing",2025-12-10T16:10:32.000Z,https://fathom.video/share/107723719
107694897,"NES/Newbury - Security & Governance Review",2025-12-10T16:01:34.000Z,https://fathom.video/share/107694897
107667466,"Data initiative session",2025-12-10T14:40:58.000Z,https://fathom.video/share/107667466
107621077,"Newbury | Marine People Data Mapping",2025-12-10T11:41:48.000Z,https://fathom.video/share/107621077
107532966,"AHS VMS Sync Intro",2025-12-09T23:03:20.000Z,https://fathom.video/share/107532966
107535532,"Meet with Chris Scowden",2025-12-09T22:29:09.000Z,https://fathom.video/share/107535532
107523217,"Reporting @Partners",2025-12-09T22:10:42.000Z,https://fathom.video/share/107523217
107523334,"Daily LT Huddle",2025-12-09T21:55:50.000Z,https://fathom.video/share/107523334
107499022,"Patriot Talent: BH ATS + BBO Scoping Session",2025-12-09T21:30:03.000Z,https://fathom.video/share/107499022
